League ID,Season,VAR,Rank,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points per Match,PPM Share,Points Share,MUD Share,Gini,HHI,Entropy,HICB,R Entropy,HRCB,Entropy Ratio,Gini Ratio,PPM HRCB,PPM Entropy Ratio,PPM Gini Ratio
D2,1617,0.0,9.5,34.0,12.11111111111111,9.777777777777779,12.11111111111111,42.27777777777778,42.27777777777778,0.0,46.111111111111114,1.3562091503267972,0.05555555555555552,0.05555555555555552,0.05555555555555555,0.1369477911646586,0.05914936855857159,4.124464429641792,106.46886340542888,0.9890979881449196,0.1736379124615125,0.1406145185083503,0.3892200380469245,0.1736379124615125,0.1406145185083503,0.3892200380469246
D2,1718,0.0,9.5,34.0,12.055555555555555,9.88888888888889,12.055555555555555,46.833333333333336,46.833333333333336,0.0,46.05555555555556,1.3545751633986929,0.05555555555555551,0.05555555555555551,0.05555555555555555,0.0824956440155475,0.0568839751993842,4.153321453043773,102.39115535889157,0.9960182621047632,0.0641836438439314,0.051356590362199,0.23446130404418758,0.0641836438439314,0.051356590362199,0.2344613040441877
D2,1819,0.0,9.5,34.0,12.11111111111111,9.777777777777779,12.11111111111111,50.22222222222222,50.22222222222222,0.0,46.111111111111114,1.3562091503267972,0.05555555555555552,0.055555555555555504,0.05555555555555555,0.11419009370816588,0.057811003048337896,4.139798021207723,104.05980548700826,0.9927751745596937,0.1089737262302219,0.0931860434661083,0.3245402663284717,0.1089737262302239,0.0931860434661056,0.3245402663284719
D2,1920,1.0,9.5,34.0,11.555555555555555,10.88888888888889,11.555555555555555,48.94444444444444,48.94444444444444,0.0,45.55555555555556,1.3398692810457515,0.05555555555555548,0.05555555555555551,0.05555555555555555,0.108130081300813,0.05767995240928019,4.143158255316035,103.82391433670438,0.9935810005894543,0.1026419111431171,0.0827924720150286,0.3073170731707316,0.1026419111431141,0.0827924720150314,0.3073170731707317
D2,2021,1.0,9.5,34.0,13.0,8.0,13.0,50.44444444444444,50.44444444444444,0.0,47.0,1.3823529411764706,0.055555555555555525,0.05555555555555551,0.05555555555555555,0.1403992645127396,0.0589116353413924,4.125047759438203,106.04094361450632,0.9892378779022197,0.1621516443893801,0.1388102156761319,0.3990294886151549,0.1621516443893808,0.1388102156761319,0.3990294886151548
D2,2122,1.0,9.5,34.0,12.222222222222221,9.555555555555555,12.222222222222221,49.55555555555556,49.55555555555556,0.0,46.22222222222222,1.3594771241830064,0.055555555555555504,0.05555555555555551,0.05555555555555555,0.1459668803418803,0.0593131703032544,4.118148580211631,106.763706545858,0.9875833687145997,0.1815521230730308,0.1601501312694536,0.4148532388663967,0.1815521230730294,0.1601501312694536,0.4148532388663968
D2,2223,1.0,9.5,34.0,12.944444444444445,8.11111111111111,12.944444444444445,50.05555555555556,50.05555555555556,0.0,46.94444444444444,1.380718954248366,0.0555555555555555,0.05555555555555551,0.05555555555555555,0.1423405654174885,0.0591141766744861,4.12415780448278,106.40551801407514,0.9890244556092251,0.1719375887988587,0.1415629436466479,0.4045468701339145,0.1719375887988577,0.1415629436466506,0.4045468701339145
E0,1314,0.0,10.5,38.0,15.1,7.8,15.1,52.6,52.6,0.0,53.1,1.3973684210526316,0.049999999999999954,0.04999999999999996,0.049999999999999954,0.1975517890772128,0.05625778033132241,4.23425471247492,112.51556066264484,0.9797142894357368,0.3397080751289315,0.2752939895741791,0.5644336830777511,0.3397080751289307,0.2752939895741819,0.5644336830777511
E0,1415,0.0,10.5,38.0,14.35,9.3,14.35,48.75,48.75,0.0,52.35,1.3776315789473685,0.04999999999999995,0.04999999999999995,0.049999999999999954,0.1713944603629417,0.0546328300533931,4.256926943349229,109.26566010678621,0.9849601497037799,0.2514964886127684,0.20410329613687866,0.4896984581798337,0.2514964886127684,0.20410329613687866,0.48969845817983354
E0,1516,0.0,10.5,38.0,13.65,10.7,13.65,51.3,51.3,0.0,51.65,1.3592105263157896,0.04999999999999997,0.049999999999999954,0.049999999999999954,0.1629719264278799,0.0542438353314484,4.256972718849541,108.48767066289687,0.9849707411572485,0.2303796322786301,0.2039595612910349,0.4656340755082288,0.2303796322786308,0.2039595612910321,0.4656340755082288
